Sales Opportunity Id,Opportunity Name,Account Name,Fiscal Period,Markets L2,Opportunity Type,Sales Stage,TCV (converted),Created Date,Close Date,TCV $M,Deal Cat,Cloud $M,ITO $M,ITOC $M,Cloud Capabilities,ITO Capabilities,ITOC Capabilities,Created M,created d,created y,Close M,Close d,Clode Y,Date Created,Date Closed,Days Active,Days start,Days end,Sln Start,Sln End,ITOC CAT,FTE Base,Add FTE,Total FTE,Resource Factor,Est FTE,21/07/2025,28/07/2025,04/08/2025,11/08/2025,18/08/2025,25/08/2025,01/09/2025,08/09/2025,15/09/2025,22/09/2025,29/09/2025,06/10/2025,13/10/2025,20/10/2025,27/10/2025,03/11/2025,10/11/2025,17/11/2025,24/11/2025,01/12/2025,08/12/2025,15/12/2025,22/12/2025,29/12/2025,05/01/2026,12/01/2026,19/01/2026,26/01/2026,02/02/2026,09/02/2026,16/02/2026,23/02/2026,02/03/2026,09/03/2026,16/03/2026,23/03/2026,30/03/2026,06/04/2026,13/04/2026,20/04/2026,27/04/2026,04/05/2026,11/05/2026,18/05/2026,25/05/2026,01/06/2026,08/06/2026,15/06/2026,22/06/2026,29/06/2026,06/07/2026,13/07/2026,20/07/2026,27/07/2026,03/08/2026,10/08/2026,17/08/2026,24/08/2026,31/08/2026,07/09/2026,14/09/2026,21/09/2026,28/09/2026,05/10/2026,12/10/2026,19/10/2026,26/10/2026,02/11/2026,09/11/2026,16/11/2026,23/11/2026,30/11/2026,07/12/2026,14/12/2026,21/12/2026,28/12/2026,04/01/2027,11/01/2027,18/01/2027,25/01/2027,01/02/2027,08/02/2027,15/02/2027,22/02/2027,01/03/2027,08/03/2027,15/03/2027,22/03/2027,29/03/2027,05/04/2027,12/04/2027,19/04/2027,26/04/2027,03/05/2027,10/05/2027,17/05/2027,24/05/2027,31/05/2027,07/06/2027,14/06/2027,21/06/2027,28/06/2027,05/07/2027,12/07/2027,19/07/2027,26/07/2027,02/08/2027,09/08/2027,16/08/2027,23/08/2027,30/08/2027,06/09/2027,13/09/2027,20/09/2027,27/09/2027,04/10/2027,11/10/2027,18/10/2027,25/10/2027,01/11/2027,08/11/2027,15/11/2027,22/11/2027,29/11/2027
OPX-0021452130,ZSIM - 5G Mobile users in Different countries / Generative AI - UKHSA - Deepseek Ban / Branch Connector 32 sites (MPLS R,A.S. WATSON (HEALTH & BEAUTY UK) LIMITED,Q4-2026,UKI-Cross Industry,New Logo,02 - Validate Opportunity,519601.9849,2/16/2025,1/16/2026,0.519601985,E,0,0,0,0,0,0,2,16,2025,1,16,2026,16/02/2025,16/01/2026,334,15,34,28/11/2025,13/12/2025,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021393336,Aldermore - AWS Migration Services,ALDERMORE BANK PLC,Q3-2026,UKI-Financial Services,New Logo,01 - Understand Customer,64950.24811,10/21/2024,11/17/2025,0.064950248,E,0.064950248,0,0.064950248,1,0,1,10,21,2024,11,17,2025,21/10/2024,17/11/2025,392,15,40,23/09/2025,08/10/2025,1,0.2,0,0.2,0.2,0.04,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021097235,Alfa Zscaler service offering,Alfa Laval AB - ESIS,Q2-2026,UKI-Cross Industry,New Work,03 - Qualify the Opportunity,145000,7/18/2022,9/18/2025,0.145,E,0,0,0,0,0,0,7,18,2022,9,18,2025,18/07/2022,18/09/2025,1158,15,116,10/05/2025,25/05/2025,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021411776,OT consultancy,Alfa Laval AB - ESIS,Q3-2026,UKI-Cross Industry,New Work,05A - Negotiate,65000,11/21/2024,11/13/2025,0.065,E,0,0,0,0,0,0,11,21,2024,11,13,2025,21/11/2024,13/11/2025,357,15,36,23/09/2025,08/10/2025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021500838,AMEY PRJ Azure to June 2025,AMEY UK PLC,Q2-2026,UKI-Aerospace and Defence,New Work,04B - Propose Solution,19485.07443,5/27/2025,7/23/2025,0.019485074,E,0.019485074,0,0.019485074,1,0,1,5,27,2025,7,23,2025,27/05/2025,23/07/2025,57,15,6,02/07/2025,17/07/2025,1,0.2,0,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021500836,AMEY PRJ Security Incidents,AMEY UK PLC,Q2-2026,UKI-Aerospace and Defence,New Work,04B - Propose Solution,12990.04962,5/27/2025,9/22/2025,0.01299005,E,0,0,0,0,0,0,5,27,2025,9,22,2025,27/05/2025,22/09/2025,118,15,12,26/08/2025,10/09/2025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021405788,AMEY Contract extension 2026,AMEY UK PLC,Q4-2026,UKI-Aerospace and Defence,Renewal,04A - Develop Solution,3537137.409,11/13/2024,3/13/2026,3.537137409,D,1.025927827,0,1.025927827,1,0,1,11,13,2024,3,13,2026,13/11/2024,13/03/2026,485,30,49,24/12/2025,23/01/2026,1,0.2,0,0.2,1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021474854,Amey new contract 2026,AMEY UK PLC,Q4-2026,UKI-Aerospace and Defence,Renewal,01 - Understand Customer,4076277.571,4/1/2025,3/13/2026,4.076277571,D,0.435166662,0,0.435166662,1,0,1,4,1,2025,3,13,2026,01/04/2025,13/03/2026,346,30,35,07/01/2026,06/02/2026,1,0.2,0,0.2,0.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021479894,AL - An Garda Siochana - SIEM and SOC Services,An Garda Síochána,Q3-2026,UKI-Ireland,New Logo,03 - Qualify the Opportunity,1.123797537,4/14/2025,12/31/2025,1.1238E-06,E,0,0,0,0,0,0,4,14,2025,12,31,2025,14/04/2025,31/12/2025,261,15,27,19/11/2025,04/12/2025,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OPX-0021500826,Identity Governance and Administration - IGA,Anglian Water Services Ltd,Q1-2027,UKI-Cross Industry,New Logo,03 - Qualify the Opportunity,1169104.466,5/27/2025,6/26/2026,1.169104466,D,0,0,0,0,0,0,5,27,2025,6,26,2026,27/05/2025,26/06/2026,395,30,40,17/04/2026,17/05/2026,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
